<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.Si-3.19,5,20190117,121000,67049.0000000,67057.0000000,67039.0000000,67045.0000000,4272
SPFB.Si-3.19,5,20190117,121500,67043.0000000,67090.0000000,67035.0000000,67085.0000000,6389
SPFB.Si-3.19,5,20190117,122000,67085.0000000,67112.0000000,67070.0000000,67102.0000000,10983
SPFB.Si-3.19,5,20190117,122500,67104.0000000,67135.0000000,67089.0000000,67131.0000000,20380
SPFB.Si-3.19,5,20190117,123000,67133.0000000,67147.0000000,67102.0000000,67105.0000000,15416
SPFB.Si-3.19,5,20190117,123500,67105.0000000,67118.0000000,67091.0000000,67112.0000000,9825
SPFB.Si-3.19,5,20190117,124000,67114.0000000,67126.0000000,67100.0000000,67112.0000000,7921
SPFB.Si-3.19,5,20190117,124500,67116.0000000,67155.0000000,67109.0000000,67135.0000000,14232
SPFB.Si-3.19,5,20190117,125000,67135.0000000,67145.0000000,67110.0000000,67120.0000000,8966
SPFB.Si-3.19,5,20190117,125500,67119.0000000,67136.0000000,67108.0000000,67113.0000000,8039
SPFB.Si-3.19,5,20190117,130000,67111.0000000,67150.0000000,67102.0000000,67123.0000000,18802
SPFB.Si-3.19,5,20190117,130500,67125.0000000,67128.0000000,67105.0000000,67107.0000000,6175
SPFB.Si-3.19,5,20190117,131000,67107.0000000,67120.0000000,67096.0000000,67110.0000000,5727
SPFB.Si-3.19,5,20190117,131500,67111.0000000,67134.0000000,67110.0000000,67117.0000000,5452
SPFB.Si-3.19,5,20190117,132000,67119.0000000,67123.0000000,67101.0000000,67109.0000000,3746
SPFB.Si-3.19,5,20190117,132500,67109.0000000,67119.0000000,67104.0000000,67112.0000000,1926
SPFB.Si-3.19,5,20190117,133000,67112.0000000,67130.0000000,67109.0000000,67118.0000000,2760
SPFB.Si-3.19,5,20190117,133500,67120.0000000,67121.0000000,67104.0000000,67113.0000000,4727
SPFB.Si-3.19,5,20190117,134000,67115.0000000,67120.0000000,67100.0000000,67120.0000000,7726
SPFB.Si-3.19,5,20190117,134500,67120.0000000,67126.0000000,67109.0000000,67123.0000000,7820
SPFB.Si-3.19,5,20190117,135000,67123.0000000,67123.0000000,67090.0000000,67099.0000000,6506
SPFB.Si-3.19,5,20190117,135500,67100.0000000,67119.0000000,67098.0000000,67109.0000000,7028
SPFB.Si-3.19,5,20190117,140000,67109.0000000,67114.0000000,67090.0000000,67101.0000000,5352
SPFB.Si-3.19,5,20190117,141000,67104.0000000,67120.0000000,67092.0000000,67096.0000000,5250
SPFB.Si-3.19,5,20190117,141500,67093.0000000,67112.0000000,67083.0000000,67105.0000000,7283
SPFB.Si-3.19,5,20190117,142000,67107.0000000,67122.0000000,67105.0000000,67114.0000000,2997
