<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.Eu-3.19,5,20190117,124000,76885.0000000,76891.0000000,76861.0000000,76866.0000000,610
SPFB.Eu-3.19,5,20190117,124500,76866.0000000,76904.0000000,76851.0000000,76886.0000000,689
SPFB.Eu-3.19,5,20190117,125000,76891.0000000,76893.0000000,76857.0000000,76864.0000000,404
SPFB.Eu-3.19,5,20190117,125500,76867.0000000,76870.0000000,76841.0000000,76856.0000000,177
SPFB.Eu-3.19,5,20190117,130000,76850.0000000,76870.0000000,76824.0000000,76845.0000000,412
SPFB.Eu-3.19,5,20190117,130500,76848.0000000,76855.0000000,76835.0000000,76835.0000000,104
SPFB.Eu-3.19,5,20190117,131000,76840.0000000,76856.0000000,76839.0000000,76843.0000000,66
SPFB.Eu-3.19,5,20190117,131500,76843.0000000,76847.0000000,76820.0000000,76829.0000000,95
SPFB.Eu-3.19,5,20190117,132000,76821.0000000,76830.0000000,76812.0000000,76830.0000000,942
SPFB.Eu-3.19,5,20190117,132500,76827.0000000,76827.0000000,76817.0000000,76825.0000000,81
SPFB.Eu-3.19,5,20190117,133000,76827.0000000,76850.0000000,76822.0000000,76838.0000000,317
SPFB.Eu-3.19,5,20190117,133500,76837.0000000,76851.0000000,76828.0000000,76846.0000000,662
SPFB.Eu-3.19,5,20190117,134000,76856.0000000,76885.0000000,76843.0000000,76884.0000000,219
SPFB.Eu-3.19,5,20190117,134500,76879.0000000,76890.0000000,76870.0000000,76883.0000000,580
SPFB.Eu-3.19,5,20190117,135000,76883.0000000,76883.0000000,76865.0000000,76880.0000000,451
SPFB.Eu-3.19,5,20190117,135500,76881.0000000,76887.0000000,76870.0000000,76881.0000000,403
SPFB.Eu-3.19,5,20190117,140000,76882.0000000,76886.0000000,76862.0000000,76874.0000000,444
SPFB.Eu-3.19,5,20190117,141000,76865.0000000,76883.0000000,76848.0000000,76862.0000000,426
SPFB.Eu-3.19,5,20190117,141500,76852.0000000,76873.0000000,76842.0000000,76857.0000000,147
SPFB.Eu-3.19,5,20190117,142000,76862.0000000,76890.0000000,76862.0000000,76890.0000000,407
SPFB.Eu-3.19,5,20190117,142500,76890.0000000,76904.0000000,76880.0000000,76903.0000000,619
SPFB.Eu-3.19,5,20190117,143000,76905.0000000,76905.0000000,76886.0000000,76888.0000000,530
SPFB.Eu-3.19,5,20190117,143500,76894.0000000,76898.0000000,76886.0000000,76886.0000000,284
SPFB.Eu-3.19,5,20190117,144000,76887.0000000,76890.0000000,76847.0000000,76847.0000000,821
SPFB.Eu-3.19,5,20190117,144500,76843.0000000,76859.0000000,76837.0000000,76850.0000000,860
SPFB.Eu-3.19,5,20190117,145000,76851.0000000,76853.0000000,76800.0000000,76814.0000000,640
SPFB.Eu-3.19,5,20190117,145500,76814.0000000,76820.0000000,76780.0000000,76807.0000000,366
SPFB.Eu-3.19,5,20190117,150000,76813.0000000,76839.0000000,76812.0000000,76829.0000000,115
SPFB.Eu-3.19,5,20190117,150500,76834.0000000,76842.0000000,76829.0000000,76833.0000000,509
SPFB.Eu-3.19,5,20190117,151000,76837.0000000,76870.0000000,76836.0000000,76845.0000000,979
SPFB.Eu-3.19,5,20190117,151500,76849.0000000,76866.0000000,76844.0000000,76862.0000000,181
SPFB.Eu-3.19,5,20190117,152000,76864.0000000,76880.0000000,76860.0000000,76867.0000000,539
SPFB.Eu-3.19,5,20190117,152500,76867.0000000,76897.0000000,76861.0000000,76897.0000000,575
SPFB.Eu-3.19,5,20190117,153000,76897.0000000,76901.0000000,76876.0000000,76893.0000000,650
