<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>	<INDEX>
SPFB.Si-3.18	5	20171226	101500	59277	59277	59154	59184	172	275
SPFB.Si-3.18	5	20171226	102000	59176	59176	59110	59110	88	276
SPFB.Si-3.18	5	20171226	102500	59130	59140	59092	59100	596	277
SPFB.Si-3.18	5	20171226	103000	59110	59110	58907	58990	315	278
SPFB.Si-3.18	5	20171226	103500	58980	59038	58980	59004	503	279
SPFB.Si-3.18	5	20171226	104000	59040	59060	58978	58978	60	280
SPFB.Si-3.18	5	20171226	104500	58978	59024	58977	59024	241	281
SPFB.Si-3.18	5	20171226	105000	59018	59020	59018	59020	7	282
SPFB.Si-3.18	5	20171226	105500	59013	59057	59013	59057	85	283
SPFB.Si-3.18	5	20171226	110000	59034	59042	59007	59025	102	284
SPFB.Si-3.18	5	20171226	110500	59006	59031	59006	59031	65	285
SPFB.Si-3.18	5	20171226	111000	59038	59080	59038	59080	28	286
SPFB.Si-3.18	5	20171226	111500	59047	59047	59025	59025	18	287
SPFB.Si-3.18	5	20171226	112000	59035	59062	59035	59062	2	288
SPFB.Si-3.18	5	20171226	113000	59080	59112	59078	59112	27	289
SPFB.Si-3.18	5	20171226	113500	59100	59104	59060	59060	2298	290
SPFB.Si-3.18	5	20171226	114000	59056	59056	59000	59000	61	291
SPFB.Si-3.18	5	20171226	114500	59050	59050	59043	59043	90	292
SPFB.Si-3.18	5	20171226	115000	59050	59069	59050	59069	21	293
SPFB.Si-3.18	5	20171226	115500	59082	59082	59065	59065	287	294
SPFB.Si-3.18	5	20171226	120000	59067	59079	59063	59070	1030	295
SPFB.Si-3.18	5	20171226	120500	59075	59075	59060	59060	1145	296
SPFB.Si-3.18	5	20171226	121000	59060	59063	59059	59059	1209	297
SPFB.Si-3.18	5	20171226	121500	59060	59081	59060	59068	197	298
SPFB.Si-3.18	5	20171226	122000	59066	59081	59066	59076	10	299
SPFB.Si-3.18	5	20171226	122500	59085	59092	59072	59072	1003	300
SPFB.Si-3.18	5	20171226	123000	59072	59116	59070	59079	4067	301
SPFB.Si-3.18	5	20171226	123500	59080	59085	59077	59077	1950	302
SPFB.Si-3.18	5	20171226	124000	59077	59077	59070	59070	1153	303
SPFB.Si-3.18	5	20171226	124500	59068	59077	59068	59072	3012	304
SPFB.Si-3.18	5	20171226	125000	59072	59075	59069	59072	4124	305
SPFB.Si-3.18	5	20171226	125500	59072	59078	59066	59073	2298	306
SPFB.Si-3.18	5	20171226	130000	59070	59073	59068	59073	1436	307
SPFB.Si-3.18	5	20171226	130500	59073	59080	59069	59080	2548	308
SPFB.Si-3.18	5	20171226	131000	59080	59080	59075	59075	53	309
SPFB.Si-3.18	5	20171226	131500	59075	59075	59060	59060	1726	310
SPFB.Si-3.18	5	20171226	132000	59060	59064	59057	59064	648	311
SPFB.Si-3.18	5	20171226	132500	59065	59065	59042	59042	731	312
SPFB.Si-3.18	5	20171226	133000	59040	59040	59040	59040	75	313
SPFB.Si-3.18	5	20171226	133500	59034	59042	59017	59022	2768	314
SPFB.Si-3.18	5	20171226	134000	59030	59043	59030	59039	1757	315
SPFB.Si-3.18	5	20171226	134500	59030	59040	59026	59040	2041	316
SPFB.Si-3.18	5	20171226	135000	59047	59049	59030	59040	979	317
SPFB.Si-3.18	5	20171226	135500	59049	59077	59045	59064	526	318
SPFB.Si-3.18	5	20171226	140000	59055	59071	59055	59068	8	319
SPFB.Si-3.18	5	20171226	141000	59061	59066	59052	59052	847	320
SPFB.Si-3.18	5	20171226	141500	59052	59072	59052	59072	300	321
SPFB.Si-3.18	5	20171226	142000	59080	59082	59080	59080	81	322
SPFB.Si-3.18	5	20171226	142500	59080	59080	59080	59080	44	323
SPFB.Si-3.18	5	20171226	143500	59090	59090	59080	59082	418	324
SPFB.Si-3.18	5	20171226	144000	59079	59079	59079	59079	150	325
SPFB.Si-3.18	5	20171226	144500	59080	59090	59080	59090	8	326
SPFB.Si-3.18	5	20171226	145000	59085	59085	59079	59085	38	327
SPFB.Si-3.18	5	20171226	145500	59085	59085	59085	59085	168	328
SPFB.Si-3.18	5	20171226	150000	59085	59093	59084	59089	481	329
SPFB.Si-3.18	5	20171226	150500	59089	59110	59089	59110	149	330
SPFB.Si-3.18	5	20171226	151000	59107	59113	59102	59112	717	331
SPFB.Si-3.18	5	20171226	151500	59125	59136	59112	59127	476	332
SPFB.Si-3.18	5	20171226	152000	59120	59134	59097	59097	2384	333
SPFB.Si-3.18	5	20171226	152500	59095	59095	59090	59090	251	334
SPFB.Si-3.18	5	20171226	153000	59090	59094	59085	59085	1186	335
SPFB.Si-3.18	5	20171226	153500	59085	59085	59072	59072	334	336
SPFB.Si-3.18	5	20171226	154000	59072	59075	59072	59075	177	337
SPFB.Si-3.18	5	20171226	154500	59072	59073	59070	59070	252	338
